Resp;Desc Resp;VP;Gerencia;Proc;Desc Proc;Item;Desc Item;Classif;CC; Jan-25 ; Feb-25 ; Mar-25 ; Apr-25 ; May-25 ; Jun-25 ; Jul-25 ; Aug-25 ; Sep-25 ; Oct-25 ; Nov-25 ; Dec-25 ; FY25 ; FY26 ; FY27 ; FY28 ; FY29 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;3101;Remuneraciones Supervision              ;Labor;100010013101; 38.510 ; 34.732 ; 32.802 ; 44.604 ; 34.700 ; 41.860 ; 39.765 ; 33.032 ; 36.702 ; 40.597 ; 37.173 ; 40.025 ; 454.502 ; 478.096 ; 492.443 ; 455.291 ; 499.297 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5111;Pasajes Nacionales                      ;Expenses;100010015111; 3.570 ; 3.450 ; 3.300 ; 3.300 ; 3.210 ; 3.180 ; 3.570 ; 3.420 ; 3.330 ; 3.030 ; 3.180 ; 3.210 ; 39.750 ; 42.521 ; 39.013 ; 36.605 ; 41.672 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5112;Hoteles Estadia Alimentacion Nacionales ;Expenses;100010015112; 872 ; 952 ; 808 ; 784 ; 944 ; 928 ; 944 ; 896 ; 952 ; 944 ; 952 ; 904 ; 10.880 ; 11.531 ; 10.981 ; 9.956 ; 11.014 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5113;Gastos Representacion Nacionales        ;Expenses;100010015113; 357 ; 347 ; 364 ; 354 ; 375 ; 361 ; 378 ; 375 ; 389 ; 343 ; 392 ; 403 ; 4.435 ; 4.179 ; 4.222 ; 4.726 ; 4.467 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5121;Pasajes Internacionales                 ;Expenses;100010015121; -   ; -   ; 8.775 ; -   ; -   ; -   ; -   ; -   ; 9.097 ; 8.453 ; -   ; -   ; 26.324 ; 29.299 ; 26.986 ; 30.155 ; 27.546 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5122;Hoteles Estadia Alimentacion Extranjero ;Expenses;100010015122; -   ; -   ; 2.950 ; -   ; -   ; -   ; -   ; -   ; 2.675 ; 2.625 ; -   ; -   ; 8.250 ; 7.810 ; 8.611 ; 8.350 ; 9.188 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5123;Gastos Representacion Extranjero        ;Expenses;100010015123; -   ; -   ; 1.590 ; -   ; -   ; -   ; -   ; -   ; 1.545 ; 1.590 ; -   ; -   ; 4.725 ; 4.777 ; 5.075 ; 4.589 ; 5.085 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5201;Arriendo Vehiculos                      ;Expenses;100010015201; 1.417 ; 1.489 ; 1.675 ; 1.503 ; 1.575 ; 1.503 ; 1.431 ; 1.431 ; 1.575 ; 1.632 ; 1.675 ; 1.489 ; 18.394 ; 18.817 ; 21.141 ; 18.605 ; 18.817 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5203;Combustibles                            ;Expenses;100010015203; 336 ; 318 ; 330 ; 336 ; 297 ; 342 ; 303 ; 327 ; 348 ; 330 ; 297 ; 333 ; 3.897 ; 4.141 ; 4.208 ; 3.936 ; 3.837 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5301;Materiales y Utiles de Escritorio       ;Expenses;100010015301; 420 ; -   ; -   ; 357 ; -   ; -   ; 371 ; -   ; -   ; 357 ; -   ; -   ; 1.505 ; 1.562 ; 1.694 ; 1.767 ; 1.578 
