Resp;Desc Resp;VP;Gerencia;Proc;Desc Proc;Item;Desc Item;Classif;CC; Jan-26 ; Feb-26 ; Mar-26 ; Apr-26 ; May-26 ; Jun-26 ; Jul-26 ; Aug-26 ; Sep-26 ; Oct-26 ; Nov-26 ; Dec-26 ; FY26 ; FY27 ; FY28 ; FY29 ; FY30 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;3101;Remuneraciones Supervision              ;Labor;100010013101; 38.895,57 ; 36.121,16 ; 34.114,43 ; 45.049,63 ; 35.047,40 ; 42.278,26 ; 40.958,32 ; 34.023,08 ; 37.436,39 ; 41.814,42 ; 38.659,44 ; 41.225,31 ; 468.136,85 ; 38.895,57 ; 36.121,16 ; 34.114,43 ; 509.282,66 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5111;Pasajes Nacionales                      ;Expenses;100010015111; 3.641,40 ; 3.588,00 ; 3.399,00 ; 3.366,00 ; 3.242,10 ; 3.243,60 ; 3.605,70 ; 3.522,60 ; 3.396,60 ; 3.151,20 ; 3.243,60 ; 3.242,10 ; 40.147,50 ; 3.641,40 ; 3.588,00 ; 3.399,00 ; 42.505,04 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5112;Hoteles Estadia Alimentacion Nacionales ;Expenses;100010015112; 889,44 ; 961,52 ; 840,32 ; 799,68 ; 981,76 ; 937,28 ; 962,88 ; 913,92 ; 980,56 ; 972,32 ; 961,52 ; 940,16 ; 11.315,20 ; 889,44 ; 961,52 ; 840,32 ; 11.234,37 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5113;Gastos Representacion Nacionales        ;Expenses;100010015113; 371,28 ; 353,43 ; 374,92 ; 367,64 ; 381,99 ; 374,92 ; 385,56 ; 378,25 ; 404,04 ; 353,29 ; 407,68 ; 410,55 ; 4.611,88 ; 371,28 ; 353,43 ; 374,92 ; 4.511,52 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5121;Pasajes Internacionales                 ;Expenses;100010015121; -   ; -   ; 8.862,25 ; -   ; -   ; -   ; -   ; -   ; 9.187,47 ; 8.537,03 ; -   ; -   ; 26.849,97 ;                               -   ;                            -   ; 8.862,25 ; 28.372,61 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5122;Hoteles Estadia Alimentacion Extranjero ;Expenses;100010015122; -   ; -   ; 2.979,50 ; -   ; -   ; -   ; -   ; -   ; 2.755,25 ; 2.703,75 ; -   ; -   ; 8.332,50 ;                               -   ;                            -   ; 2.979,50 ; 9.464,06 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5123;Gastos Representacion Extranjero        ;Expenses;100010015123; -   ; -   ; 1.637,70 ; -   ; -   ; -   ; -   ; -   ; 1.575,90 ; 1.653,60 ; -   ; -   ; 4.914,00 ;                               -   ;                            -   ; 1.637,70 ; 5.288,72 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5201;Arriendo Vehiculos                      ;Expenses;100010015201; 1.445,48 ; 1.518,49 ; 1.741,79 ; 1.518,06 ; 1.637,58 ; 1.518,06 ; 1.460,08 ; 1.445,77 ; 1.606,09 ; 1.697,13 ; 1.725,04 ; 1.548,26 ; 18.762,07 ; 1.445,48 ; 1.518,49 ; 1.741,79 ; 19.005,08 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5203;Combustibles                            ;Expenses;100010015203; 349,44 ; 324,36 ; 343,20 ; 349,44 ; 299,97 ; 345,42 ; 306,03 ; 330,27 ; 354,96 ; 336,60 ; 305,91 ; 336,33 ; 4.013,91 ; 349,44 ; 324,36 ; 343,20 ; 3.990,96 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5301;Materiales y Utiles de Escritorio       ;Expenses;100010015301; 428,40 ; -   ; -   ; 367,71 ; -   ; -   ; 374,71 ; -   ; -   ; 360,57 ; -   ; -   ; 1.565,20 ; 428,40 ;                            -   ;                            -   ; 1.609,85 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5302;Suscripciones Varias (Fisicas y Electron;Expenses;100010015302; 988,00 ; 1.004,25 ; 1.020,00 ; 909,83 ; 951,08 ; 1.003,00 ; 900,58 ; 892,67 ; 953,33 ; 986,00 ; 875,33 ; 849,33 ; 11.474,67 ; 988,00 ; 1.004,25 ; 1.020,00 ; 10.848,08 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5411;Ropa y Equipos Proteccion Personal      ;Expenses;100010015411; 115,54 ; 135,96 ; 128,03 ; 120,12 ; 130,42 ; 134,64 ; 119,99 ; 123,32 ; 114,44 ; 118,98 ; 122,41 ; 134,99 ; 1.498,96 ; 115,54 ; 135,96 ; 128,03 ; 239,06 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5501;Honorarios Consultores Nacionales       ;Expenses;100010015501; 20.031,67 ; 18.025,00 ; 17.510,00 ; 16.995,00 ; 17.506,67 ; 20.256,67 ; 19.526,67 ; 20.453,33 ; 20.800,00 ; 20.453,33 ; 18.348,33 ; 17.853,33 ; 230.533,33 ; 20.031,67 ; 18.025,00 ; 17.510,00 ; 242.408,26 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5502;Honorarios Consultores Extranjeros      ;Expenses;100010015502; 8.330,00 ; 9.355,83 ; 9.605,00 ; 9.270,00 ; 10.400,00 ; 8.840,00 ; 8.332,50 ; 10.042,50 ; 10.200,00 ; 9.533,33 ; 9.945,00 ; 10.226,67 ; 112.025,83 ; 8.330,00 ; 9.355,83 ; 9.605,00 ; 109.870,17 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5503;Otros Gastos Consultores                ;Expenses;100010015503; 4.655,60 ; 4.610,40 ; 4.490,80 ; 4.484,40 ; 4.848,00 ; 4.078,80 ; 4.605,60 ; 3.959,20 ; 3.998,40 ; 4.451,20 ; 4.532,00 ; 4.326,40 ; 53.913,60 ; 4.655,60 ; 4.610,40 ; 4.490,80 ; 59.294,31 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;5603;Otros Gastos Reuniones                  ;Expenses;100010015603; 318,33 ; 297,27 ; 327,60 ; 315,20 ; 357,00 ; 312,43 ; 330,23 ; 326,99 ; 309,31 ; 312,43 ; 333,46 ; 351,87 ; 3.949,40 ; 318,33 ; 297,27 ; 327,60 ; 4.103,55 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;6114;Gastos Generales Oficinas               ;Expenses;100010016114; 493,05 ; 522,34 ; 562,55 ; 587,44 ; 562,02 ; 502,81 ; 572,51 ; 522,77 ; 517,75 ; 502,86 ; 517,75 ; 562,99 ; 6.374,49 ; 493,05 ; 522,34 ; 562,55 ; 6.983,99 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;6148;Gastos Cafeteria                        ;Expenses;100010016148; 2.223,60 ; 2.039,40 ; 2.246,40 ; 2.427,60 ; 2.141,20 ; 2.348,40 ; 2.204,20 ; 2.343,20 ; 2.162,40 ; 2.389,60 ; 2.475,20 ; 2.244,00 ; 27.111,60 ; 2.223,60 ; 2.039,40 ; 2.246,40 ; 27.069,14 
1000;Presidencia Ejecutiva                   ;CEO;CEO;1001;Dpto. Direccion Compañia                ;6591;Gastos Especiales CEO                   ;Expenses;100010016591; 144.075,00 ; 139.100,00 ; 124.987,50 ; 150.637,50 ; 137.612,50 ; 156.000,00 ; 132.562,50 ; 126.225,00 ; 130.037,50 ; 130.037,50 ; 148.200,00 ; 137.762,50 ; 1.682.200,00 ; 144.075,00 ; 139.100,00 ; 124.987,50 ; 1.687.405,48 
